Date,Username,Tweet,Id
Date,Username,Tweet,ID
2024-07-12 22:03:58+00:00,1581104071955517440,    this youhave you sifted through it its all bullshit emotional  appeal buzzwords dei woke marxist two genders critical race theory,
2024-07-12 22:03:37+00:00,1112870892231712768,rt  another excellent podcast this week from  and eugene garvin particularly good conversation on critical race theo,
2024-07-12 22:01:18+00:00,1770016224233070592,rt  the eradicating of gender ideology  queer theory  critical race theory and all other csj off shoots as well as edi an,
2024-07-12 21:50:43+00:00,1054717594429665280,"rt  claiming that identitarianism is just teaching history

critical race theory is not history

they know it and they are lying",
2024-07-12 21:50:26+00:00,1054717594429665280,"rt     teach crt or else

portland teacher says teach critical race theory or lose",
2024-07-12 21:50:20+00:00,1054717594429665280,rt     watch this parent absolutely obliterate critical race theory at an illinois school,
2024-07-12 21:47:17+00:00,1176621070796955648, racist critical race theory and far left extremist queer theory are embedded in governments around the world but project 2025 ,
2024-07-12 21:46:44+00:00,718112518753935360,rt  this is trumps executive order banning critical race theory and this is one of the paragraphs signed on september 22 2,
2024-07-12 21:46:26+00:00,718112518753935360,rt  critical race theory crt makes race the prism through which its proponents analyze all aspects of american lifeand do,
2024-07-12 21:42:37+00:00,1542131391831449600,  race based things require a critical mass otherwise kuyafana,
2024-07-12 21:40:36+00:00,1443946978979860483,  this is exactly why i dont think kimberle crenshaw is a critical race theorist shes been a reformist her whole academic career but central to crt is the claim that racism is permanent and the exclusion of blacks is foundational to civil society upon which the law is based,
2024-07-12 21:39:02+00:00,2496874350, while were only half way thru the season this is one big series that will likely determine whether the royals remain in wc race or fade away winning at least 23 is critical,
2024-07-12 21:38:26+00:00,4273785025,rt  critical race theory crt was previously rebranded as dei diversity equity and inclusion now as awareness grows it,
2024-07-12 21:35:42+00:00,1524888735011045376,rt  black members of mississippis senate walk out of the chamber before the final vote on a bill to ban teaching critical race,
2024-07-12 21:33:08+00:00,1167159607791423490,    have you sifted through it its all bullshit emotional  appeal buzzwords dei woke marxist two genders critical race theory they literally wrote policy on all the boogey men the right created to outrage themselves,
2024-07-12 21:25:59+00:00,1786038160285188096,rt  education should be about fostering critical thinking not indoctrinating students with divisive ideologies like criti,
2024-07-12 21:23:45+00:00,1809174306116767744, it isnt critical thinking more than its just a desire to feel superior to other people and because in my opinion racists usually lack personal achievements so instead they invent racial reasons for superiority,
2024-07-12 21:15:01+00:00,1216647423659073538,free critical race theorycrt lessons for millions of americans to easily research and verify for themselves are the real reason that free speech loving republicans suddenly want to ban tiktok ,
2024-07-12 21:10:28+00:00,417243021,"                                                  no one said you were overreacting

youre just baldly lying

fascist textbook

the flames of culture war are straight from rules of radicals by saul alinsky

newsom biden democrats have fanned the flames by critical race theory and by promising reparations  tactics to ",
2024-07-12 21:09:38+00:00,417243021,"                                                  fascist textbook

the flames of culture war are straight from rules of radicals by saul alinsky

newsom biden democrats have fanned the flames by critical race theory and by promising reparations  tactics to divide the country just like the nazis did

the fascists are ",
2024-07-12 21:06:54+00:00,268221460," kimberl williams crenshaw born may 5 1959 is an american civil rights advocate and a scholar of critical race theory she is a professor at the ucla school of law and columbia law school where she specializes in race and gender issues

",
2024-07-12 21:03:23+00:00,1531002180433420288,rt  everyone who follows me knows that i had a strong reaction to studying critical race theory a few years ago in law school,
2024-07-12 21:00:08+00:00,1523831249328037888,    al mohler needs to repent for his role in smuggling woke ideology into sbts by hiring several men like jarvis williams who espouse critical race theory he should not be in any leadership position,
2024-07-12 20:59:41+00:00,1327702777959739393,glad this is being done i do wonder why it has taken so long if i understand critical race theory correctly this delayed justice would be included as one of the many ways racism persists systemically ,
2024-07-12 20:59:21+00:00,1142998676," with the enforced critical race theory and other left wing nonsense school fed to children in schools
it seems they woke up
they wont like you
who does",
2024-07-12 20:57:54+00:00,103433534,rt  i am honored to receive the alaska centers sole endorsement in my race the critical issues of clean air and water h,
2024-07-12 20:56:43+00:00,32820396,i am honored to receive the alaska centers sole endorsement in my race the critical issues of clean air and water healthy salmon habitats and a vibrant democracy transcend partisan lines and affect every alaskan it is humbling to have the support of an organization wholly  ,
2024-07-12 20:49:12+00:00,1769774491591151616,check out brooklyn dad defiant he has posted the most perfectly stated reasoning as to why biden is so critical to us and this race  ,
2024-07-12 20:48:37+00:00,1297839315326836738,rt  what are schools doing to impart ideologies like gender identity and critical race theory onto their students ,
2024-07-12 20:47:29+00:00,567673300,rt  an art teacher once told me that the best indication of a great piece of art is how it tells a story captures a moment,
2024-07-12 20:46:38+00:00,556118417,rt   millions of dollars and many city resources tied up their time to perform this critical race theory nonsense  what,
2024-07-12 20:46:25+00:00,1529202200785915908,rt   this is the history many know but want it kept silent  many states are controlling curriculum throwin,
2024-07-12 20:46:13+00:00,115187891,rt  interested in public health critical race praxis phcrp we are still enrolling for this 2day course july 25th26th in,
2024-07-12 20:41:56+00:00,1661411525620277248,rt  the anticritical race theory campaigner  could be the next prime minister of the uk listen to her incredi,
2024-07-12 20:38:45+00:00,1803158365784113152,rt  this article criticizes how courts frame the narratives of black women plaintiffs and the harm suffered by these black women,
